16:28:03 [Safezone] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik= pos=<7033.791016, 284.939423, 7093.118164>) Left the safezone
16:52:30 [SpawnSelection] Player "ToyBoxx" (id=YPmBwzH85kJWfGJO1qpoWAVt8hglOIzUgdYaBVNiHFM=) spawned at <13910.900391, 5.300000, 13624.900391>
17:18:01 [Party] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) joinded the party "Soulless" (id=23 ownerUID=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik= ownerName=Soullessmonarcs)
17:18:49 [SpawnSelection] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) spawned at <2031.425415, 2.290743, 2150.743408>
17:23:00 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to sell ttc_mcx_tan_300blk x1 at the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>).
17:23:00 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has sold ttc_mcx_tan_300blk x1 at the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>) and got 10075.
17:23:03 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to sell expansionammorpg x1 at the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>).
17:23:04 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has sold expansionammorpg x1 at the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>) and got 875.
17:23:04 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to sell expansionammorpg x1 at the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>).
17:23:05 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has sold expansionammorpg x1 at the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>) and got 875.
17:24:28 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to purchase ttc_universal_suppressor_tavor x1 from the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>).
17:24:28 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought ttc_universal_suppressor_tavor x1 from the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>) for a price of 4000.
17:24:52 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to purchase ttc_universal_suppressor_tavor x1 from the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>).
17:24:52 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought ttc_universal_suppressor_tavor x1 from the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>) for a price of 4000.
17:25:06 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to purchase ttc_300cmag x1 from the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>).
17:25:06 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought ttc_300cmag x1 from the trader "BlackMarket (Lewis [Black Market])" in market zone "Black Market Trading Zone" (pos=<1385.420044, 303.220001, 9282.639648>) for a price of 2000.
